# Dataset de entrenamiento para IA conversacional (Zeew)
# Formato: Pregunta | Respuesta
# Sección: Saludos básicos
# Subsección: Conjugación de verbos regulares (presente)
¿Cómo se conjuga "hablar" en presente? | Yo hablo, tú hablas, él/ella habla, nosotros hablamos, vosotros habláis, ellos/ellas hablan
Conjuga "comer" en presente | Yo como, tú comes, él/ella come, nosotros comemos, vosotros coméis, ellos/ellas comen
¿Cuál es la conjugación de "vivir"? | Yo vivo, tú vives, él/ella vive, nosotros vivimos, vosotros vivís, ellos/ellas viven

# Subsección: Conjugación de verbos irregulares
Conjuga "tener" en presente | Yo tengo, tú tienes, él/ella tiene, nosotros tenemos, vosotros tenéis, ellos/ellas tienen
¿Cómo se conjuga "ser"? | Yo soy, tú eres, él/ella es, nosotros somos, vosotros sois, ellos/ellas son
Conjugación de "ir" | Yo voy, tú vas, él/ella va, nosotros vamos, vosotros vais, ellos/ellas van

# Subsección: Pasado (pretérito perfecto)
Conjuga "hablar" en pasado | Yo hablé, tú hablaste, él/ella habló, nosotros hablamos, vosotros hablasteis, ellos/ellas hablaron
¿Cómo se dice "comí" en plural? | Nosotros comimos / ellos/ellas comieron

# Subsección: Futuro
Conjugación futura de "cantar" | Yo cantaré, tú cantarás, él/ella cantará, nosotros cantaremos, vosotros cantaréis, ellos/ellas cantarán

# Subsección: Modo imperativo
Forma imperativa de "mirar" | (tú) mira, (usted) mire, (nosotros) miremos, (vosotros) mirad, (ustedes) miren  

# Subsección: Estructuración de frases
¿Cómo se forma una oración simple? | Sujeto + verbo + complemento: "El niño (sujeto) come (verbo) manzanas (complemento)"
Orden correcto para preguntas | ¿ + interrogativo + verbo + sujeto + complemento?: "¿Qué (interrogativo) comes (verbo) tú (sujeto) hoy (complemento)?"
Ejemplo de frase negativa | "No tengo dinero" (no + verbo + complemento)
Ejemplo de frase con dos verbos | "Quiero aprender español" (verbo conjugado + verbo en infinitivo)

# Subsección: Concordancia género/número
¿Cómo se dice "el libro rojo" en plural? | "Los libros rojos"
¿"La casa" o "el casa"? | Correcto: "La casa" (femenino)
¿"Este árbol" o "esta árbol"? | "Este árbol" (masculino)

# Subsección: Preposiciones comunes
¿Cuándo usar "a" vs "en"? | "A" indica dirección ("voy a Madrid"), "en" indica ubicación ("estoy en Madrid")
Ejemplo con "por" y "para" | "Lo hice por ti" (causa) vs "Este regalo es para ti" (destino)
Uso correcto de "con" | Indica compañía: "Voy con mis amigos"

# Subsección: Formación de preguntas
¿Cómo preguntar por acciones? | ¿ + verbo + sujeto?: "¿Come Pedro?"
¿Cómo preguntar por objetos? | ¿Qué + verbo + sujeto?: "¿Qué come Pedro?"
Pregunta por tiempo | ¿Cuándo + verbo + sujeto?: "¿Cuándo llega Juan?"
Pregunta por lugar | ¿Dónde + verbo + sujeto?: "¿Dónde trabajas?"
Pregunta por razón | ¿Por qué + verbo + sujeto?: "¿Por qué lloras?"

# Subsección: Conectores lingüísticos
Ejemplo con "sin embargo" | "Me gusta el café; sin embargo, no tomo mucho"
Uso de "aunque" | "Aunque llueve, saldré a caminar"
Diferencia "pero"/"sino" | "No es rojo pero es grande" vs "No es rojo sino azul"

# Subsección: Ejercicios prácticos
Convierte a plural: "La flor bonita" | "Las flores bonitas"
Conjuga en pasado: "Yo como pan" | "Yo comí pan"
Forma una pregunta con "dónde/estudiar/tú" | "¿Dónde estudias tú?"
Corrige: "Nosotros sabo la verdad" | "Nosotros sabemos la verdad"
Completa: "Ella ___ (querer) viajar" | "Ella quiere viajar"

# Subsección: Expresiones idiomáticas
"Costar un ojo de la cara" | Significa que algo es muy caro
"Estar en las nubes" | Significa estar distraído
"Tomar el pelo" | Significa bromear o engañar jugando
"Ser pan comido" | Algo muy fácil de hacer
"Echar agua al mar" | Hacer algo inútil o redundante

# Subsección: Formación de adverbios
"Rápido" → adverbio | "Rápidamente"
"Fácil" → adverbio | "Fácilmente"
"Perfecto" → adverbio | "Perfectamente"

# Subsección: Grados del adjetivo
Comparativo de "alto" | "Más alto que" (superioridad), "Menos alto que" (inferioridad), "Tan alto como" (igualdad)
Superlativo de "bueno" | "Buenísimo" o "El mejor"  

# Sección: Tiempos verbales completos

Indicativo (Modo factual)
Presente:
• "Amar" → Yo amo, tú amas, él ama, nosotros amamos, vosotros amáis, ellos aman  
• "Temer" → Yo temo, tú temes, él teme, nosotros tememos, vosotros teméis, ellos temen  
• "Partir" → Yo parto, tú partes, él parte, nosotros partimos, vosotros partís, ellos parten  

Pretérito Perfecto Simple:
• "Hablar" → Yo hablé, tú hablaste, él habló, nosotros hablamos, vosotros hablasteis, ellos hablaron  
• "Perder" → Yo perdí, tú perdiste, él perdió, nosotros perdimos, vosotros perdisteis, ellos perdieron  
• "Dormir" → Yo dormí, tú dormiste, él durmió, nosotros dormimos, vosotros dormisteis, ellos durmieron  

Pretérito Imperfecto:
• "Bailar" → Yo bailaba, tú bailabas, él bailaba, nosotros bailábamos, vosotros bailabais, ellos bailaban  
• "Comer" → Yo comía, tú comías, él comía, nosotros comíamos, vosotros comíais, ellos comían  

Futuro Simple:
• "Decir" → Yo diré, tú dirás, él dirá, nosotros diremos, vosotros diréis, ellos dirán  
• "Hacer" → Yo haré, tú harás, él hará, nosotros haremos, vosotros haréis, ellos harán  

Subjuntivo (Modo hipotético)
Presente:
• "Estar" → Yo esté, tú estés, él esté, nosotros estemos, vosotros estéis, ellos estén  
• "Saber" → Yo sepa, tú sepas, él sepa, nosotros sepamos, vosotros sepáis, ellos sepan  

Pretérito Imperfecto (2 formas):
1. "-ra": "Pensar" → Yo pensara, tú pensaras, él pensara, nosotros pensáramos, vosotros pensarais, ellos pensaran  
2. "-se": "Volver" → Yo volviese, tú volvieses, él volviese, nosotros volviésemos, vosotros volvieseis, ellos volviesen  

Condicional
• "Querer" → Yo querría, tú querrías, él querría, nosotros querríamos, vosotros querríais, ellos querrían  
• "Salir" → Yo saldría, tú saldrías, él saldría, nosotros saldríamos, vosotros saldríais, ellos saldrían  

Formas compuestas (Haber + participio)
Pretérito Perfecto Compuesto:
• "Yo he comido", "Tú has vivido", "Él ha escrito"  

Pluscuamperfecto:
• "Yo había hablado", "Tú habías temido", "Ella había partido"  

Futuro Compuesto:
• "Nosotros habremos terminado", "Vosotros habréis visto"  

Imperativo (Modo mandato)
Affirmativo:
• "Hablar" → (tú) habla, (usted) hable, (nosotros) hablemos, (vosotros) hablad, (ustedes) hablen  
Negativo:
• "No hablar" → (tú) no hables, (usted) no hable, (nosotros) no hablemos, (vosotros) no habléis, (ustedes) no hablen  

Gerundio y Participio
• "Correr" → Gerundio: corriendo / Participio: corrido  
• "Romper" → Gerundio: rompiendo / Participio: roto (irregular)  

Ejercicios prácticos
Conjuga "ser" en pretérito pluscuamperfecto → "Yo había sido", "Tú habías sido", "Él había sido"...  
Transforma a futuro perfecto: "Yo estudio" → "Yo habré estudiado"  
Corrige: "Ellos hano bebido" → "Ellos han bebido"  

Verbos defectivos  
• "Llover" → Solo 3a persona: "Llueve", "Llovió"  
• "Acontecer" → "Aconteció", "Acontecerá"  

Perífrasis verbales  
• "Ir a +infinitivo" (futuro próximo): "Voy a comer"  
• "Acabar de +infinitivo": "Acabo de llegar"  
• "Deber de +infinitivo": "Debes de estudiar"  

Voseo (variante rioplatense)  
• Presente: "Tú hablas" → "Vos hablás"  
• Imperativo: "Habla" → "Hablá"

# Sección: Conversaciones sobre la comida

## Diálogo 1: En un restaurante
**Usuario:** Hola, ¿me puedes recomendar un plato?  
**Zeew:** ¡Hola! Claro, ¿te gustan más las carnes o los vegetales?  
**Usuario:** Prefiero las carnes.  
**Zeew:** Te recomiendo el filete a la parrilla, es muy sabroso.  
**Usuario:** Suena bien. ¿Y qué guarnición me sugieres?  
**Zeew:** Puedes acompañarlo con puré de papas o ensalada.  
**Usuario:** Creo que optaré por la ensalada.  
**Zeew:** Excelente elección. ¡Disfruta de tu comida!

## Diálogo 2: Cocinando en casa
**Usuario:** Estoy pensando en hacer una cena especial. ¿Qué receta me recomiendas?  
**Zeew:** ¿Qué tipo de comida te gustaría preparar?  
**Usuario:** Algo italiano.  
**Zeew:** Podrías hacer pasta al pesto. Es fácil y delicioso.  
**Usuario:** ¿Cuáles son los ingredientes?  
**Zeew:** Necesitarás pasta, albahaca, piñones, ajo, aceite de oliva y queso parmesano.  
**Usuario:** Perfecto, ¿me puedes dar los pasos?  
**Zeew:** Claro, primero hierve la pasta, luego mezcla los demás ingredientes en una licuadora y mezcla todo. ¡Listo!

## Diálogo 3: Hablando sobre dietas
**Usuario:** Estoy tratando de comer más saludable. ¿Tienes consejos?  
**Zeew:** Sí, es importante incluir más frutas y verduras en tu dieta.  
**Usuario:** ¿Y qué hay de las proteínas?  
**Zeew:** Puedes optar por pollo, pescado o legumbres.  
**Usuario:** ¿Y los carbohidratos?  
**Zeew:** Prefiere los integrales, como el arroz integral o la quinoa.  
**Usuario:** Gracias, eso suena bien.  
**Zeew:** De nada, ¡buena suerte con tu dieta!

## Diálogo 4: En el mercado
**Usuario:** ¿Dónde puedo encontrar frutas frescas?  
**Zeew:** En el mercado local, hay un puesto de frutas frescas muy bueno.  
**Usuario:** ¿Qué frutas son de temporada ahora?  
**Zeew:** Ahora es temporada de fresas, mangos y piñas.  
**Usuario:** ¡Me encantan las fresas!  
**Zeew:** Perfecto, puedes hacer un batido delicioso con ellas.  
**Usuario:** ¡Gran idea! Gracias por la recomendación.  
**Zeew:** ¡Disfruta de tus compras!

## Diálogo 5: Hablando de postres
**Usuario:** ¿Cuál es tu postre favorito?  
**Zeew:** Me encanta el flan, es un clásico. ¿Y a ti?  
**Usuario:** A mí me gusta el chocolate.  
**Zeew:** Entonces, deberías probar un pastel de chocolate.  
**Usuario:** Suena delicioso. ¿Es difícil de hacer?  
**Zeew:** No, es bastante sencillo. Solo necesitas chocolate, harina, azúcar, huevos y mantequilla.  
**Usuario:** ¡Genial! Voy a intentarlo.  
**Zeew:** ¡Buena suerte! Estoy seguro de que te quedará delicioso.

## Diálogo 6: Hablando sobre bebidas
**Usuario:** ¿Qué bebida me recomiendas para acompañar la cena?  
**Zeew:** Depende de lo que vayas a comer. Para carne, un vino tinto es ideal.  
**Usuario:** ¿Y para pescado?  
**Zeew:** Un vino blanco o una cerveza ligera van muy bien.  
**Usuario:** Perfecto, creo que optaré por el vino blanco.  
**Zeew:** Excelente elección. ¡Salud!  

# Como responder bien

# Solo se incluyen pares que usan caracteres del vocabulario original
Hola | ¡Hola!, ¿como estás?
adiós | ¡Nos vemos!
